pdf_url,question,page
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-359_Block-360_Block-373_dd20071012_PSA_PetroBelize.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-53_Block-54_Block-55_dd20071021_PSA_Blue-Creek.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-5A_Block-5B_dd20030102_PSA_Belize-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-7_Block-8_Block-9_dd20000403_Exp-Dov-Prod-Agreement_RSM.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fbz%2F1_5pages_bz_Block-74_Block-77_Block-78_dd20100325_PSA_Northern-Spirit-Resources.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fca%2F1_5pages_ca_Douala-Basin_dd20080300_Petroleum-Operations_Perenco_Kosmos.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fca%2F1_5pages_ca_Ndian-River_dd20061120_PSC_Kosmos-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fca%2F1_5pages_ca_West-Cameron-Block-75_dd20070926_Part-Agree_Ridgewood_HelisOil_HoustonEnergy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcl%2F1_5pages_cl_Bloque-Tranquilo_dd20100120_Operating_Geopark.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcl%2F1_5pages_cl_Fell-Block-Area_dd20050000_Special-Operat-Contract_GeoPark.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn__dd20090313_Farmout-Agree_FEEC_Arrow.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn_Area-25_34_dd20090217_Petroleum-Contract_Primeline.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn_Area-33_07_dd20120615_Petroleum-Contract_Primeline.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn_Enhong_Laochang-Area_dd20111231_Modification-PSC_FEEC.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn_Kongnan-Block-Dagang_dd19970908_Petroleum-Contract_Pan-China.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn_Qinnan-Area_dd20020416_PSC-Coalbed-Methane_Philips-China_CUCBM.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn_Shouyang-Area_dd20120426_Modification-PSC_FEEC.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn_Zahng-Dong-Block_dd19980800_Petroleum-Contract_CNPC_XCL-Ltd.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn_Zijinshan-Area_dd20071026_PSC-Coalbed-Methane_CUCBM_Pacific-Asia.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fcn%2F1_5pages_cn_Zitong-Block_dd20020919_Exp-Dev-Prod_CNPC_Pan-China.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_Block-LLA-34_dd20090313_Exp-Prod-Contract_Winchester_Ramshorn.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_Block-VMM-17_dd20090331_Exp-Prod_Morichal-Sinoco.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_Cajaro_dd20021218_Association-Contract_Harken-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_Caracoli_dd20051227_Exp-Prod-Contract_Harken-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_La-Cuerva_dd20080416_Exp-Prod-Contract_Hupecol.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_Luna-Llena_dd20051227_Exp-Prod-Contract_Harken-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_Miradores_dd19971224_Association-Contract_Harken-Energy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_Montecristo_dd19980228_Association-Contract_SevenSeas.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_Rio-Magdlena_dd20011210_Association-Contract_Argosy.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fco%2F1_5pages_co_Rosablanca_dd19980228_Association-Contract_SevenSeas.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Fdz%2F1_5pages_dz__dd19891023_Exploration-Exploitation_Sonatrach_Anadarko.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Feg%2F1_5pages_eg_Block-2_dd20040718_Concession_Centurion_Ganoub.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Feg%2F1_5pages_eg_Central-Sinai-Area_dd19980115_Exploration-Exploitation_NEC.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Feg%2F1_5pages_eg_East-Wadi-Araba_dd20020118_Concession_Dover.pdf,Find the contractors in this document.,1
http://downloads.openoil.net/contracts_eng-only%2Feg%2F1_5pages_eg_East-Wadi-Araba_dd20060413_Amend-Agree_Dover_Mogul_Sea%20Dragon.pdf,Find the contractors in this document.,1
